,Ka,Ku,SicRG,Mus,Aid,Scal,Sal,Ncal,Cam,It,Sp,Fr,Ptg,Rm,Lat,ClG,NTG,Gri,BoG,Grk,RPG,CyG,Got,OE,E,D,Da,Ice,Nor,Blg,SC,Slo,Po,Rus,Ir,Wel,Ma,Hi,Far,Pas,Man,Can,Inu,Jap,Ar,Heb,Hu,Est,Fin,Tur,Bur,cB,wB,Wo,Qui,ChK,Mal
FGM,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FGP,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0,0,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+
FGN,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0,0,+,0,+,+,+,+,+,+,+,+,+,+,+,-,+
GCO,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0
FGG,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,0,0,-,0,+,+,-,-,-,-,-,-,+,+,-,-,-
NOD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0,-,-,-,-,-,-,-,+,+,+,-,+,-
FSN,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0,0,+,0,+,+,+,+,+,+,+,0,0,0,+,0,-
FNN,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0,0,+,0,+,+,+,+,+,+,+,0,0,0,+,0,0
CGB,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,+,+,-,-,-,+,-,-,+,+,-,-,+,+,-,-
FIN,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,-,-,-,0,0,0,-,0,0,-,-,0,0,-,-,0,0
DGR,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,0,0,-,0,+,+,+,-,-,-,-,-,-,+,-,-,+
CGR,0,0,+,+,+,+,+,+,+,+,+,0,+,+,0,-,-,+,+,+,+,+,0,-,+,+,+,-,+,-,0,0,0,0,-,-,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0
