"","Ka","Ku","SicRG","It","Sp","Fr","Ptg","Rm","Grk","CyG","E","D","Da","Ice","Nor","Blg","SC","Slo","Po","Rus","Ir","Wel","Ma","Hi","Far","Pas","Man","Can","Inu","Jap","Ar","Heb","Hu","Est","Fin","Tur","Bur","cB","wB","Wo"
"Ka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ku",0.393939393939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SicRG",0.3,0.297297297297297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It",0.25,0.315789473684211,0.0208333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sp",0.25,0.342105263157895,0.0833333333333334,0.0600000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fr",0.28125,0.351351351351351,0.0652173913043478,0.0416666666666666,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptg",0.25,0.315789473684211,0.0625,0.04,0.02,0.0416666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rm",0.242424242424242,0.333333333333333,0.0869565217391305,0.0625,0.0612244897959183,0.108695652173913,0.0833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grk",0.34375,0.384615384615385,0.170212765957447,0.183673469387755,0.22,0.234042553191489,0.224489795918367,0.183673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CyG",0.3125,0.358974358974359,0.170212765957447,0.163265306122449,0.2,0.212765957446808,0.204081632653061,0.163265306122449,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E",0.3125,0.333333333333333,0.159090909090909,0.152173913043478,0.173913043478261,0.181818181818182,0.152173913043478,0.173913043478261,0.208333333333333,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D",0.28125,0.333333333333333,0.111111111111111,0.106382978723404,0.127659574468085,0.133333333333333,0.106382978723404,0.173913043478261,0.204081632653061,0.183673469387755,0.0612244897959183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da",0.25,0.307692307692308,0.111111111111111,0.106382978723404,0.127659574468085,0.133333333333333,0.106382978723404,0.104166666666667,0.208333333333333,0.1875,0.0816326530612245,0.0816326530612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ice",0.25,0.358974358974359,0.177777777777778,0.170212765957447,0.170212765957447,0.155555555555556,0.148936170212766,0.163265306122449,0.22,0.2,0.122448979591837,0.0961538461538461,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nor",0.25,0.307692307692308,0.133333333333333,0.127659574468085,0.148936170212766,0.155555555555556,0.127659574468085,0.122448979591837,0.1875,0.166666666666667,0.0816326530612245,0.0816326530612245,0.0384615384615384,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blg",0.28125,0.394736842105263,0.127659574468085,0.142857142857143,0.14,0.170212765957447,0.163265306122449,0.117647058823529,0.2,0.22,0.208333333333333,0.166666666666667,0.14,0.12,0.137254901960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC",0.242424242424242,0.35,0.175,0.166666666666667,0.13953488372093,0.195121951219512,0.166666666666667,0.142857142857143,0.155555555555556,0.133333333333333,0.181818181818182,0.127659574468085,0.13953488372093,0.0869565217391305,0.13953488372093,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slo",0.272727272727273,0.375,0.175,0.19047619047619,0.162790697674419,0.219512195121951,0.19047619047619,0.166666666666667,0.133333333333333,0.155555555555556,0.204545454545455,0.148936170212766,0.162790697674419,0.108695652173913,0.162790697674419,0.0681818181818182,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Po",0.272727272727273,0.375,0.15,0.166666666666667,0.13953488372093,0.195121951219512,0.166666666666667,0.166666666666667,0.133333333333333,0.155555555555556,0.204545454545455,0.148936170212766,0.162790697674419,0.130434782608696,0.162790697674419,0.0909090909090909,0.0612244897959183,0.0408163265306123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rus",0.272727272727273,0.375,0.175,0.19047619047619,0.162790697674419,0.219512195121951,0.19047619047619,0.166666666666667,0.133333333333333,0.155555555555556,0.204545454545455,0.170212765957447,0.162790697674419,0.130434782608696,0.162790697674419,0.0681818181818182,0.0408163265306123,0.0204081632653061,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ir",0.3,0.361111111111111,0.209302325581395,0.232558139534884,0.204545454545455,0.219512195121951,0.209302325581395,0.227272727272727,0.227272727272727,0.227272727272727,0.13953488372093,0.159090909090909,0.204545454545455,0.133333333333333,0.204545454545455,0.204545454545455,0.153846153846154,0.153846153846154,0.153846153846154,0.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wel",0.333333333333333,0.361111111111111,0.232558139534884,0.255813953488372,0.227272727272727,0.24390243902439,0.232558139534884,0.25,0.25,0.25,0.162790697674419,0.181818181818182,0.227272727272727,0.155555555555556,0.227272727272727,0.227272727272727,0.17948717948718,0.17948717948718,0.17948717948718,0.17948717948718,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ma",0.314285714285714,0.3,0.162162162162162,0.157894736842105,0.184210526315789,0.184210526315789,0.157894736842105,0.157894736842105,0.225,0.225,0.24390243902439,0.225,0.170731707317073,0.15,0.170731707317073,0.175,0.195121951219512,0.195121951219512,0.195121951219512,0.195121951219512,0.25,0.277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hi",0.314285714285714,0.3,0.162162162162162,0.157894736842105,0.184210526315789,0.184210526315789,0.157894736842105,0.157894736842105,0.225,0.225,0.24390243902439,0.225,0.170731707317073,0.15,0.170731707317073,0.175,0.195121951219512,0.195121951219512,0.195121951219512,0.195121951219512,0.25,0.277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Far",0.454545454545455,0.351351351351351,0.333333333333333,0.333333333333333,0.361111111111111,0.361111111111111,0.333333333333333,0.333333333333333,0.324324324324324,0.324324324324324,0.216216216216216,0.27027027027027,0.297297297297297,0.243243243243243,0.297297297297297,0.333333333333333,0.236842105263158,0.236842105263158,0.236842105263158,0.236842105263158,0.257142857142857,0.228571428571429,0.261904761904762,0.261904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pas",0.387096774193548,0.292682926829268,0.236842105263158,0.230769230769231,0.256410256410256,0.263157894736842,0.230769230769231,0.230769230769231,0.292682926829268,0.292682926829268,0.166666666666667,0.195121951219512,0.19047619047619,0.170731707317073,0.19047619047619,0.195121951219512,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.216216216216216,0.189189189189189,0.113636363636364,0.113636363636364,0.184210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Man",0.526315789473684,0.413793103448276,0.375,0.36,0.4,0.36,0.36,0.36,0.37037037037037,0.37037037037037,0.25,0.296296296296296,0.214285714285714,0.296296296296296,0.214285714285714,0.333333333333333,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.434782608695652,0.434782608695652,0.25,0.25,0.259259259259259,0.258064516129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
